track_name,artists,track_genre,energy,valence
Comedy,Gen Hoshino,acoustic,0.461,0.715
Ghost - Acoustic,Ben Woodward,acoustic,0.166,0.267
To Begin Again,Ingrid Michaelson;ZAYN,acoustic,0.359,0.12
Can't Help Falling In Love,Kina Grannis,acoustic,0.0596,0.143
Hold On,Chord Overstreet,acoustic,0.443,0.167
Days I Will Remember,Tyrone Wells,acoustic,0.481,0.666
Say Something,A Great Big World;Christina Aguilera,acoustic,0.147,0.0765
I'm Yours,Jason Mraz,acoustic,0.444,0.712
Lucky,Jason Mraz;Colbie Caillat,acoustic,0.414,0.669
Hunger,Ross Copperman,acoustic,0.632,0.196
Give Me Your Forever,Zack Tabudlo,acoustic,0.363,0.301
I Won't Give Up,Jason Mraz,acoustic,0.303,0.139
Solo,Dan Berk,acoustic,0.314,0.607
Bad Liar,Anna Hamilton,acoustic,0.234,0.209
Hold On - Remix,Chord Overstreet;Deepend,acoustic,0.78,0.387
Falling in Love at a Coffee Shop,Landon Pigg,acoustic,0.561,0.238
ily (i love you baby),Andrew Foy;Renee Foy,acoustic,0.112,0.414
At My Worst,Andrew Foy;Renee Foy,acoustic,0.0841,0.609
Lucky,Jason Mraz;Colbie Caillat,acoustic,0.414,0.669
Photograph,Boyce Avenue;Bea Miller,acoustic,0.32,0.322
I'm Yours,Jason Mraz,acoustic,0.444,0.712
Demons,Boyce Avenue;Jennel Garcia,acoustic,0.351,0.569
Say Something,A Great Big World;Christina Aguilera,acoustic,0.147,0.0765
93 Million Miles,Jason Mraz,acoustic,0.454,0.515
Unlonely,Jason Mraz,acoustic,0.667,0.754
Bella Luna,Jason Mraz,acoustic,0.454,0.33
Winter Wonderland,Jason Mraz,acoustic,0.309,0.664
If It Kills Me,Jason Mraz,acoustic,0.429,0.52
Winter Wonderland,Jason Mraz,acoustic,0.309,0.664
Winter Wonderland,Jason Mraz,acoustic,0.309,0.664
Winter Wonderland,Jason Mraz,acoustic,0.309,0.664
Winter Wonderland,Jason Mraz,acoustic,0.309,0.664
All I Want For Christmas Is A Real Good Tan,Chord Overstreet,acoustic,0.455,0.564
Party of One,Brandi Carlile;Sam Smith,acoustic,0.206,0.202
Party of One,Brandi Carlile;Sam Smith,acoustic,0.206,0.202
Party of One,Brandi Carlile;Sam Smith,acoustic,0.206,0.202
Lonely This Christmas,KT Tunstall,acoustic,0.153,0.18
Throwing Good After Bad,Brandi Carlile,acoustic,0.0952,0.316
This Time Tomorrow,Brandi Carlile,acoustic,0.326,0.414
Lonely This Christmas,KT Tunstall,acoustic,0.153,0.18
The Haves,Eddie Vedder,acoustic,0.519,0.326
When You're Wrong,Brandi Carlile,acoustic,0.301,0.142
You and Me on the Rock,Brandi Carlile;Lucius,acoustic,0.686,0.725
You and Me on the Rock,Brandi Carlile;Lucius,acoustic,0.686,0.725
"Speak Your Mind (From the Netflix Series ""We The People"")",Brandi Carlile,acoustic,0.666,0.498
You and Me on the Rock,Brandi Carlile;Lucius,acoustic,0.686,0.725
You and Me on the Rock,Brandi Carlile;Lucius,acoustic,0.686,0.725
You and Me on the Rock,Brandi Carlile;Lucius,acoustic,0.686,0.725
You and Me on the Rock,Brandi Carlile;Lucius,acoustic,0.686,0.725
You and Me on the Rock,Brandi Carlile;Lucius,acoustic,0.686,0.725
Trampoline - Acoustic,Highland Peak,acoustic,0.2,0.308
透明だった世界,Motohiro Hata,acoustic,0.914,0.56
Pieces,Andrew Belle,acoustic,0.652,0.298
A Drop in the Ocean,Ron Pope,acoustic,0.393,0.564
So Far Away - Acoustic,Adam Christopher,acoustic,0.331,0.407
The Enemy,Andrew Belle,acoustic,0.89,0.273
Build It Better,Aron Wright,acoustic,0.333,0.159
Sleepwalking in the Rain,Chord Overstreet,acoustic,0.381,0.502
Gravity,Sara Bareilles,acoustic,0.275,0.231
What's Left of You,Chord Overstreet,acoustic,0.507,0.265
Pano,Zack Tabudlo,acoustic,0.457,0.415
Sky's Still Blue,Andrew Belle,acoustic,0.791,0.217
And I Love Her,Kurt Cobain,acoustic,0.282,0.435
We Can't Stop,Boyce Avenue;Bea Miller,acoustic,0.347,0.36
Always Be My Baby,Tim Halperin,acoustic,0.255,0.285
Alone with You,Canyon City,acoustic,0.274,0.207
Making All Things New,Aaron Espe,acoustic,0.355,0.48
She Used To Be Mine,Sara Bareilles,acoustic,0.303,0.172
In My Veins - Feat. Erin Mccarley,Andrew Belle,acoustic,0.42,0.196
I Don't Wanna Live Forever (Fifty Shades Darker),Tyler Ward,acoustic,0.403,0.264
A Drop In the Ocean,Ron Pope,acoustic,0.573,0.346
Superman (It's Not Easy),Five For Fighting,acoustic,0.416,0.125
When the End Comes,Andrew Belle,acoustic,0.575,0.428
You're Still The One,Bailey Jehl,acoustic,0.473,0.54
Light Me Up,Ingrid Michaelson,acoustic,0.595,0.117
93 Million Miles,Jason Mraz,acoustic,0.454,0.515
Kaleidoscope,A Great Big World,acoustic,0.913,0.519
The Long Road,Eddie Vedder;Nusrat Fateh Ali Khan,acoustic,0.342,0.253
What Would I Do Without You,Drew Holcomb & The Neighbors,acoustic,0.336,0.335
Have It All,Jason Mraz,acoustic,0.638,0.6
Heavy Heart,Gabrielle Aplin,acoustic,0.7,0.37
The House We Never Built,Gabrielle Aplin,acoustic,0.391,0.202
Society,Eddie Vedder,acoustic,0.327,0.298
Please Don't Say You Love Me,Gabrielle Aplin,acoustic,0.541,0.3
Please Don't Say You Love Me,Gabrielle Aplin,acoustic,0.541,0.3
Guaranteed,Eddie Vedder,acoustic,0.4,0.351
Brave,Sara Bareilles,acoustic,0.836,0.758
Lonely This Christmas,KT Tunstall,acoustic,0.153,0.18
Lonely This Christmas,KT Tunstall,acoustic,0.153,0.18
Heaven Knows,Five For Fighting,acoustic,0.845,0.392
I Heard The Bells On Christmas Day,The Civil Wars,acoustic,0.145,0.218
I Heard The Bells On Christmas Day,The Civil Wars,acoustic,0.145,0.218
Fairytale Of New York,KT Tunstall,acoustic,0.555,0.33
I Heard The Bells On Christmas Day,The Civil Wars,acoustic,0.145,0.218
I Heard The Bells On Christmas Day,The Civil Wars,acoustic,0.145,0.218
I Heard The Bells On Christmas Day,The Civil Wars,acoustic,0.145,0.218
I Heard The Bells On Christmas Day,The Civil Wars,acoustic,0.145,0.218
I Heard The Bells On Christmas Day,The Civil Wars,acoustic,0.145,0.218
Hold On,KT Tunstall,acoustic,0.937,0.805
Suddenly I See,KT Tunstall,acoustic,0.78,0.693
Rain,Motohiro Hata,acoustic,0.655,0.542
Somebody Else - Acoustic,Callum J Wright,acoustic,0.38,0.617
Pieces (Hushed),Andrew Belle,acoustic,0.279,0.0951
Mirrors,Boyce Avenue;Fifth Harmony,acoustic,0.658,0.683
Stand by Me,Boyce Avenue,acoustic,0.266,0.307
Losing Me,Gabrielle Aplin;JP Cooper,acoustic,0.407,0.257
なんでもないや - movie ver.,Mone Kamishiraishi,acoustic,0.161,0.325
You’re Beautiful - Acoustic,John Adams,acoustic,0.154,0.36
Hikare Inochi,Kitri,acoustic,0.769,0.385
How To Lose a Girl,Tyler Ward,acoustic,0.454,0.34
Can’t Help Falling in Love,Boyce Avenue,acoustic,0.197,0.148
Dive Deep (Hushed),Andrew Belle,acoustic,0.378,0.085
When the Party's over (Acoustic Piano),Ben Woodward,acoustic,0.226,0.188
Boston,Augustana,acoustic,0.571,0.29
Living in the Shadows,Matthew Perryman Jones,acoustic,0.79,0.197
In Case You Didn’t Know,Boyce Avenue,acoustic,0.299,0.341
